Date;Titre;Contenu_lemmatisé
2009-10-05;Organisation du Hadj 2009-2010 : le point des préparatifs;"souci assurer bon organisation hadj année , gouvernement avoir prendre charge sélectionner transporteur , éviter désordre habituel . jeudi 1er octobre dernier , ministre charge transports aérien , nicaise Fagnon avoir tenir conférence presse expliquer homme media , méthodologie suivre choix transporteur . être présence haut commissaire pèlerinage , raphiou toukourou . conseil ministre séance mercredi 15 juillet , avoir instruit ministre économie Finances celui transports aérien faire connaître dénomination adresse agence voyage ainsi compagnie aérien retenir bénin , assurer transport pèlerin béninois avant clôture formalité délivrance slot Aviation civil saoudienne fixer 9 septembre 2009 . suite , ministre charge transports aérien avoir créer comité interministériel avoir mission choix compagnie agence voyage . ledit comité être composer ministère charge transports aérien ; ministère intérieur ; ministère Défense national ministère économie Finances . total , 11 offre avoir faire objet analyse comité technique interministériel . terme analyse , deux soumissionnaire être dégagés lot . agir notamment agence Cristal Tours partenariat Al shameh agence Al Lama Group partenariat tropic voyages . examen dossier compagnie aérien avoir être effectuer base critère comme : crédibilité , norme technique contenu prestation . examen dossier deux concurrent avoir permettre comité retenir transport pèlerin Mecque , édition 2009 , compagnie Ethiopian Airlines dont agence voyage partenaire être Al shameh . négociation mener représentant Ethiopian Airlines directrice Cristal Tours , avoir être retenir utilisation Boeing 767 300 235 siège être 470 pèlerin jour . contrat signer entre bénin Al shameh porter minimum 1.800 pèlerin maximum 3.500 pèlerin . tarif retenir être 1.795 dollar saoudien vol aller avoir lieu 4,5,6 7 novembre prochain , vol retour 3,4,5 , 6 décembre . ministre charge transports aérien , nicaise Fagnon avoir préciser choix compagnie Ethiopian Airlines avoir être guider souci garantie sûreté sécurité contenu offrir qualité service proposer . être bien connaître , selon , faire déjà vol régulier entre certain capitale sous-région djeddah . ministre avoir aussi rappeler convoyeurs avoir participer directement évaluation offre , avoir être consulter avoir faire part préoccupation cours processus ."
2009-10-28;Colloque sur la laïcité au Bénin : Boni Yayi reçoit le document final;chef état boni Yayi avoir recevoir journée hier mardi 27 octobre plusieurs personnalité . préoccupation ordre social , économique culturel être centre échange avoir avoir hôte . agir notamment roi kika , être aller remettre chef état acte colloque laïcité . avoir être suivre majesté gbèzé ayontèmè toffa IX , roi porto-novo être aller discuter préparatif organisation centenaire mourir roi toffa 1er . conclusion colloque national confession religieux laïcité tenir 6 7 novembre 2008 cotonou , avoir être remise chef état , suivre explication introductive pasteur Michel alokpo avoir retracé grand ligne déroulement assises . quant Léon bio bigou , avoir présenter quatre point essentiel plan action comité intellectuel interreligieux dialogue paix . agir imprimerie recommandation vulgariser 77 commune , identifier situation nécessiter médiation immédiat établir répertoire situation conflictuelle afin régler . différent intervenant avoir montrer être colloque trop , parce tout couche religieux , dignitaire autre tête couronnée avoir prendre part très actif . avoir demander contenu juridique être donner document , vulgarisation mise œuvre . colloque avoir surtout mettre accent dialogue inter intra religieux , base paix durable . gestion chefferie traditionnel royauté avoir être passer revue .
2009-11-05;Daouda Malle de la BID au cabinet présidentiel : les hôpitaux de zone de Djidja, Covè et Djougou bientôt une réalité;président république , boni Yayi avoir échanger hier , mercredi 4 novembre cabinet , plusieurs personnalité délégation dont directeur département humain banque islamique développement ( BID ) . dernier être aller donner accord institution financer projet construction trois hôpital zone commune djidja , cove djougou . ainsi , grogne incessante population djidja , cove djougou relatif projet construction hôpital zone commune aller estomper bientôt . infrastructure être réalité tout prochain mois . être moins , falloir retenir échange chef état , boni Yayi , avoir avoir hier , mercredi 4 novembre , directeur département humain BID , Dr daouda malle . sortir audience , celui-ci avoir réaffirmer engagement institution bancaire aider pays construire trois hôpital zone faciliter accès soin population commune concerner . BID financer trois projet hauteur 4 9 milliard franc CFA . daouda malle avoir être introduire cabinet présidentiel ministre santé , issifou takpara .
2009-11-16;Appui aux chefferies traditionnelles et organisations religieuses : le gouvernement donne 500 millions FCFA aux rois et aux églises;"acteur chefferie traditionnel autre organisation religieux avoir massivement prendre part , vendredi 13 novembre dernier cour ministère charger relations institutions ( MCRI ) cotonou , important cérémonie . agir remise chèque roi , tête couronnée confession religieux titre année 2009 . cérémonie présider ministre zakary Baba Body marie-joe Mèba djossou . gouvernement avoir décider lors conseil ministre 25 août dernier reconduire année , appui financier annuel gouvernement chefferie traditionnel confession religieux . être ainsi enveloppe 500 million FCFA avoir être officiellement gracieusement mise disposition vendredi dernier témoigner importance gouvernement accorder composante société civil rôle médiation social , gardien valeur traditionnel , maintien paix unité national . ministre charger relations institutions , zakary Baba Body , organisations société civil être incontournable développement pays . acteur proximité , intervenir tout domaine vie national profit population . mieux , chefferie traditionnel confession religieux avoir jouer rôle particulièrement déterminant avènement régime changement . cours cérémonie , avoir être remettre représentant différent couche concerner montant revenir , ainsi , - cent million ( 100.000.000 ) FCFA tête couronnée ; - cent million ( 100.000.000 ) FCFA religion endogène ; - cent vingt cinq million ( 125.000.000 ) FCFA religion judéo chrétien dont vingt cinq million ( 25.000.000 ) FCFA différent pèlerinage judéo-chrétiens ; - cent vingt cinq million ( 125.000.000 ) FCFA organisation pèlerinage Mecque . ministre zakary Baba Body avoir rappeler partie fonds destiner musulman , avoir servir acheter vivres ( sucre , lait , riz huile ) avoir être réceptionné bureau union islamique bénin ( UIB ) vendredi 11 septembre dernier esplanade palais congrès cotonou . ceci , soulager tant être peu peine cours mois carême . ailleurs , avoir aussi inviter dignitaire religieux autre tête couronnée faire répartition judicieux fonds afin objectif gouvernement être atteindre . voix porter parole , bénéficiaire chèque avoir dire tout gratitude président boni Yayi geste combien louable ."
2009-11-26;Veille de la Tabaski à Parakou : le mouton se vend à prix d'or;"veille tabaski , communément appeler fête mouton , animal vendre prix or . être côté marché kobokobo parakou , rue ville , falloir user tact diplomatie avoir mouton choix . entrée marché kobokobo , nombreux être démarcheurs abordent proposer accompagner chez vendeur . A. S. , vendeur chez avoir être conduire donner prix : « celui-ci coûter 50.000f ; celui là 70.000 .» côté , autre vendeur nom kassin tirer bras : "" venir , ici être moins cher "" . pourtant , prix proposer être loin celui venir être communiqué . pire être vendeur proposer montant plus élevé : 80000f 90.000f . être ambiance client défiler , renseigner ikililou aide oncle vendre mouton occasion fête . rue parakou , mouton vendeur faire navette tout sens . être dire avoir passer devant pendant autre arriver sens où être diriger premier . être ainsi longueur journée . être dire marché mouton occasion fête être déplacer aller vers client . vendeur rencontrer voie mener tribunal confier : « mouton valoir plus grand 60.000f , celui là coûter 80.000f ; si être intéressé , diminuer 2000 seulement ; mouton être cher temps courent » . plus loin vers lycée Mathieu bouké , être approcher vendeur ambulants avoir créer , marché circonstanciel , « venir , venir , faire bon prix , faire bon prix .» . ainsi aller prix mouton marché devenir ambulant approche fête . « tout bon musulman devoir acheter mouton devoir offrir voisin famille » , renseigner SA. , voisin quartier . autre personne rencontré prononcer importance avoir acheter mouton certifient être prescription Coran obliger cependant celui , avoir moyen endetter faire . autre encore reconnaître observance prescription , beaucoup bénédiction ."
2009-11-30;Célébration de la fête Aïd el-kebir : les fidèles musulmans ont sacrifié à la tradition à Porto-Novo;"comme tout musulman monde entier , fidèle musulman capitale avoir célébrer vendredi 27 novembre dernier faste aïd el-Kébir communément appeler tabaski fête mouton . être place idi djassin , kandévié , akossombo , Gbodjè celui gbokou , musulman avoir prié sous direction imam respectif , paix bénin famille , avant immolation symbolique bélier tabaski . Allah wa’koubarou » , Dieu « être grand ! être cri louange , lancer plusieurs reprise , avoir démarrer prière commémorant aïd el-kébir . sonner exactement neuf heure place idi djassin , où fidèle musulman tout endimanché , homme premier loge femme après , avoir salué arrivée imam El hadj machioudi rachad . arrivée dernier avoir donner top prière avoir durer environ dix minute . prière avoir être suivre prêcher imam cours lequel , avoir rappeler genèse fête tabaski révéler prophète Ibrahim . effet dire imam , Dieu avoir demander Ibrahim immoler sacrifice unique fils ismaël , révélation prophète avoir rapporter fils ; dernier répondre père exécuter volonté Dieu , père tout puissant . jour sacrifice , alors lbrahim aller immoler ismaël , grand surprise vivre bélier blanc Dieu ordonner tuer place fils . voilà , justifier fête capitale tout bon musulman . poursuivre prédication , imam avoir montrer Dieu être vraiment mystère , sinon , comment comprendre enfant avoir sauver tout premier immolation , rappellera plus tard commémoration fête tabaski . point où , troublé affecter , père , prophète Ibrahim hésita jour aller prier . Dieu intima ordre aller prier , puis exécuta , donner ainsi sens , révélation sourate 108 , stipuler : « Inan antoénam kalkaossar » . autrement dire , quoi arriver vie musulman croire , quel être circonstance , falloir toujours prier Dieu , travers sacrifice , tout celui entourer être joie . autre pan prêcher imam machioudi rachad , être exhortation tout bon musulman immoler plaisir mouton , faire avoir crainte Dieu . ceci , conférer tout valeur tel révéler prophète Ibrahim , faire manger tout monde autour soi . exemple , renchérit « jamais donner gigot mouton quelqu'un , sans donner quoi préparer » . après prêcher , imam assister autre fidèle avoir égorgé bélier blanc , montrer fidèle couteau couvert sang , souvenir sacrifice prophète , pendant sang bélier giclait . être acclamation louange sacrifice avoir être accueillir , lancer ainsi , top immolation autre millier mouton famille musulman . manifestation être poursuivie maison , place public quartier village , autour copieux repas cuisiner viande mouton , grâce génie culinaire femme . cependant , convenir mentionner avant plonger fête , musulman avoir obligation assister traditionnel prière 13 heure vendredi , puisque celui tabaski , dispense . El hadj mouftaou soumanou , tabaski être aussi fête solidarité partager . voilà pourquoi , avoir lancer appel tout croyant prier pays bénin , être pays paix , sécurité prospérité ."
2009-11-30;Les politiques exhortés à la tolérance à Cotonou;prières immolation être , vendredi 27 novembre dernier , menu célébration fête aïd el-kébir tabaski , place « idi » akpakpa cotonou . occasion , imam ousmane aboubakar avoir prié paix bénin exhorter fidèle inspirer vie prophète Ibrahim fils ismaël . « Dieu avoir besoin sang ni viande , foi . foi être habit porter enlever volonté . » tel être essentiel message délivrer imam mosquée central dé cotonou , el-hadj ousmane aboubakar . imam fonder sourate kaoushar , avoir enseigner fidèle meilleur sacrifice plaire Dieu être soumission part adulte obéissance docilité chez enfant . endroit centaine musulman venir écouter , célébrer avoir prêcher foi sans répit , observance loi divines dévotion Dieu tout lieu tout temps . el-hadj ousmane aboubakar être également président union islamique bénin ( UIB ) département Atlantique littoral , avoir rappeler croire devoir craindre mourir . faire ainsi allusion prophète Ibrahim recevoir songer message divin immoler fils ismaël Allah . , bien ismaël être unique fils engendrer 80 an , Ibrahim être point immoler quand Allah faire remplacer ismaël bélier fête mouton année , selon imam , être signer abondance grâce parce avoir coïncidé vendredi être ordinaire , jour prêcher islamique . effet , fidèle musulman avoir bénéficier deux culte journée 27 novembre dernier . concernant pays tout entier président UIB / atlantique-littoral , sensible convulsion politique ambiant , avoir inviter différent acteur tolérance patience . Seigneur , avoir demander paix amour bénin . immolation bélier cornu , présence ancien ministre soulé mana lawani , moussa okanla soumanou moudjaïdou , mettre fin célébration . chaque musulman nanti être inviter immoler bélier chez avant jour lundi 30 novembre . tradition musulman enseigner répartir viande trois partie : premier famille , deuxième destiner aumône dernier ami .
2010-03-01;Fête du Maouloud : la communauté musulmane de Cotonou a sacrifié à la tradition;tout comme musulman bénin monde entier , communauté islamique cotonou avoir commémorer , vendredi 26 février dernier , fête maouloud consacrant jour anniversaire baptême prophète Mahomet . tout comme année précédent , être retrouver mosquée central joncquet célébrer manifestation marquer fête . fête maouloud être commémorée Ie 12è jour troisième mois année lunaire . représenter fidèle musulman jour anniversaire baptême prophète Mahomet . autre terme , être jour bon Dieu avoir donner prophète Mahomet musulman . celui avoir sortir mauvais chemin remettre voie divin . mosquée central joncquet cotonou , programme manifestation avoir être essentiellement marquer cérémonie louange prophète Mahomet . représentant majorité mosquée cotonou être retrouver matinée vendredi 26 février dernier implorer Dieu louer bienfait prophète Mahomet . cours manifestation , histoire , vie réalisation celui-ci avoir être expliqué . prière avoir être ensuite dire tout communauté musulman bénin tout nation béninoise . manifestation avoir être diriger imam mosquée central joncquet , ousmane Ibrahim . seulement , constat être faire être fête avoir suscité ferveur populaire niveau communauté islamique cotonou comme être cas lors autre fête occurrence ramadan tabaski . vendredi dernier , mosquée tout comme maison , avoir aucun ambiance particulier annoncer fête lequel , journée avoir être chômée payer tout étendue territoire national . imam ousmane Ibrahim , indifférence justifier faire fête maouloud être suivre prière comme ramadan tabaski . venir suite acte religieux contrairement ramadan tabaski . fête ramadan exemple venir 30 jour après jeûne musulman . « ici , agir tout juste anniversaire lequel , obliger fidèle venir forcément prier mosquée » , avoir expliquer imam mosquée central joncquet . falloir noter fête maouloud être équivalent fête Noël , naissance Jésus-Christ , chrétien .
2010-03-02;Concertation des confessions religieuses et des têtes couronnées : le cadre interreligieux appelle à une mobilisation autour de la LEPI;cadre concertation confession religieux tête couronnée bénin avoir faire déclaration situation sociopolitique actuel pays , prononçant notamment dossier LEPI . être hier lundi 1er mars , Eglise protestant méthodiste béthel guinkomey cotonou . depuis plusieurs mois , après vote loi lancement opération recensement électoral national approfondir ( RENA ) réalisation liste électoral permanent informatisée ( LEPI ) , bénin vivre crise politique social cesser accentuer . or , échéance 2011 constitueront premier pays , parce agir deux grand élection , présidentiel législatif . porte-parole cadre , pasteur Simon dossou , être virage capital démocratie devoir savoir négocier éviter tension politique social arriver autre . être tenir compter enjeu défi relever deux organisation membre cadre interreligieux paix dialogue social , après avoir rencontrer successivement responsable mission indépendant recensement électoral national approfondir ( MIRENA ) , commission politique supervision ( CPS ) président assemblée national , avoir décider donner avis question . selon déclaration , apporter soutien réalisation sans entrave RENA LEPI avant élection 2011 . occasion , invitent membre CPS MIRENA plus détermination encouragent surmonter difficulté actuel doter pays instrument paix . classe politique , demandent recourir intoxication opinion public . invitent CPS garder tête froid devant tout tentative pouvoir amener contourner loi recommandent chercher chaque tournant décisif , voie sagesse consensus . , cadre lancer appel patriotique mobilisation tout couche social autour CPS MIRENA réalisation RENA LEPI . député signataire projet abrogation loi LEPI , demander bien vouloir reconsidérer position regardant intérêt supérieur nation béninoise . enfin , cadre concertation confession religieux tête couronnée bénin , dire disposer écoute tout proposition pouvoir faciliter cohésion dialogue . noter avant déclaration , cadre avoir procédé passation témoin entre président sortir , pasteur Simon dossou , celui entrer , Ahmed Mohamed sanni , Iman natitingou avoir placer mandat sous signer continuité œuvre entamée prédécesseur .
2010-03-31;Interdiction de construire des mosquées avec minarets en Suisse : la communauté musulmane béninoise appelle au respect de la liberté des religions;communauté musulman bénin être mécontent gouvernement suisse avoir interdire construction mosquée minaret territoire . avoir exprimer hier mardi 30 mars travers manifestation mosquée central Cadjèhoun . manifestation avoir connaître fort participation tête couronnée pays . avoir environ cinq mois gouvernement suisse avoir prendre décision interdire construction mosquée minaret territoire . ainsi , instar autre communauté musulman monde , communauté musulman bénin , opposer tel décision , selon secrétaire général union islamique bénin ( UIB ) , viser supprimer emblème islam . faïz adégbola , décision Suisse devoir surprendre si tenir histoire pays . falloir seulement chercher connaître étudier vrai intensions gouvernement suisse pouvoir plus tard interdire appel musulman prière construction mosquée territoire . situation pouvoir « réveiller vieux démon division querelle islamo-chrétiennes » , avoir dire . travers différent motion protestation contestation lue tête couronnée présent manifestation , communauté musulman bénin appeler gouvernement suisse respect liberté religion . roi savalou , majesté roi tosso gbaguidi XIII , histoire mosquée minaret remonter antiquité pouvoir aujourd'hui être réfutée quelconque idéologie . « mosquée sans minaret être comme église sans cloche » , avoir ajouter . quant roi allada kpodégbé djigla , avoir souligner tout communauté religieux avoir droit développer sans entrave devoir pouvoir cohabiter ensemble sauvegarde paix . raison justifier donc présence tête couronnée , venue massivement soutenir communauté musulman bénin .
2010-04-28;Recensement porte-à-porte pour la réalisation de la LEPI : les confessions religieuses invitent à la sauvegarde de la paix;"membre cadre concertation confession religieux ( CCCR ) être retrouver , lundi 26 avril dernier adresser message paix tout classe politique béninoise . être cours rencontrer avoir avoir lieu cotonou . situation politique actuel bénin laisser indifférent aucun couche société béninoise . confession religieux ensemble roi bénin avoir faire analyse situation politique marquer part grand agitation violence verbale tout genre . selon secrétaire général CCCR , Michel alokpo , plusieurs constat découler analyse . ressort unité national être menacer processus réalisation LEPI souffre quelque insuffisance lequel falloir apporter solution immédiat consensuelle . outre , action mener différent organe presse favoriser guère instauration climat paix pays mutisme société civil débat LEPI compromet participation tout couche société débat politique national . avoir aussi ajouter discours politique être plus plus régionaliste xénophobe ; peuple béninois être plus plus intoxiqué dérouté . être pourquoi CCCR tête couronnée , travers appel pressant acteur animateur vie politique national , avoir inviter sens plus aigu responsabilité patriotisme mettre péril démocratie béninoise éviter pays trouble social conséquence découler . roi kika , majesté gangorosuanbou , avoir part , inviter tout force vif pays particulièrement parti politique accorder violon réalisation LEPI consensuelle . devoir privilégier voie concertation déjà inaugurer rencontre 9 mars 6 avril dernier régler différent problème divergence pouvoir apparaître . plus , avoir appeler force tout mettre œuvre sauvegarder quiétude paix social bénin . ailleurs , roi bénin apporter soutien travail cours niveau national coordination déconcentrée . finir , avoir demander nom roi bénin citoyen faire recenser massivement afin être privé droit civique long période . LEPI être roi préalable organisation élection démocratique transparent bénin ."
2010-06-16;Malanville : naissance d'une nouvelle association islamique;fidèle musulman commune malanville avoir créer association islamique dénommer « ihiyaou souna alaa makana alaihi salafou salihina » , samedi dernier salle réunion arrondissement-centre commune . association avoir objectif promouvoir éducation , culture défense droit liberté homme selon islam . entendre aussi oeuvrer lutte contre intolérance , discrimination intégrisme , entraide , solidarité paix promotion développement durable commune . selon initiateur , enseignement , organisation conférence prêche voie audiovisuel être moyen lequel association compter réussir mission . texte fondamental association avoir être lire , amendé adopter . bureau exécutif 13 membre avoir être mettre pied conduire activité association , pendant cinq an renouvelable seul fois . honneur être revenu seïdou mouhamadou présider destiner association .
2010-06-28;Table ronde internationale sur le dialogue interreligieux : pour la préservation et la consolidation de la paix en Afrique;sous parrainage ministre issa badarou-soulé , mouvement chrétien changer monde , présider professeur Albert gandonou , avoir organiser 26 27 juin table ronde international thème « Dialogue interreligieux : contribution religion construction paix » . être cotonou salle conférence institut universitaire bénin . objectif table ronde être contribuer amener religion désengager combat devenir artisan paix . plusieurs pays africain être représenter rencontrer , notamment Maroc , togo , Cameroun , Congo brazzaville , Congo Kinshasa , Guinée bénin . assistance composer jeune personnalité scientifique obédience religieux divers avoir remué méninger autour trois panel . premier panel « marche humanité vers toujours plus humanité miséricorde , travers combat égalité race , égalité culture , égalité langue égalité religion » avoir montrer comment marche humanité poursuivre jour comment aboutissement dépendre paix monde . deuxième panel porter contribution religion préservation paix avoir insister nécessité croyant cultiver dialogue interreligieux désengager combat intérêt chapelle devenir artisan paix . « Evangile : message justice social , amour paix , adresser tout homme bon volonté , élévation humanité , c'est-à-dire vers Dieu » être troisième panel avoir faire découvrir universalité « bon nouveau » Jésus-Christ . après avoir souligner fréquence conflit sociopolitique interreligieux Afrique surtout délicat période nation béninoise apprête vivre , période faire campagne élection présidentiel , participant avoir conclure sauvegarde paix être objectif primordial poursuivre tout . ligne , point orgue avoir être mettre avantage garantir dialogue interreligieux . convaincus être cœur homme prendre naissance conflit violence tout genre , assistance avoir estimer être cœur homme trouver solution paix . passer connaissance profond ouverture responsable chaque fidèle pratiquer vers religion vis-à-vis . agir autre terme insister homme africain , formation éducation appuyer meilleur connaissance autre . table ronde avoir également mettre relief menace paix constituer puissance argent rapport social forme quotidien sociabilité . enfin , avoir être recommander tout acteur social notamment politique , œuvrer acharnement préservation consolidation paix .
2010-06-29;Audience au Palais de la Marina : une délégation du Fonds koweïtien au cabinet présidentiel;mission évaluation projet construction route ouidah - allada bretelle pahou-tori bossito , visite bénin , avoir être recevoir audience , mardi 24 juin dernier , président boni Yayi . agir délégation fonds koweïtien développement économique arabe conduite conseiller juridique , nawaf A. Al-Mahamel . arrivée bénin mission évaluation projet construction route ouidah-allada bretelle pahou - tori bossito , faire suite voyage effectuer février dernier chef état Koweït table ronde tenir 24 mars dernier . avoir permettre boucler financement dudit projet partenaire technique financier être fonds koweïtien , boad , fonds Abou dhabi , BIDC côté gouvernement béninois , coût total 23 milliard franc CFA . sortie audience , conseiller juridique fonds koweïtien avoir exprimer joie quant accueil ' réserver délégation discussion fructueux chef état . cours échange , avoir être question non seulement importance financement aussi surtout , mise exécution projet , avoir préciser nawaf A. Al-Mahamel . avoir rappeler fonds koweïtien avoir déjà contribuer construction plusieurs route bénin projet lutte contre érosion côtier . ministre transports terrestre travaiux public , nicaise Fagnon , avoir souligner être alloué route ouidah - allada - pahou - tori bossito globalement 6 milliard F CFA . avoir souligner être route important parce être prévoir construction port sec tori bossito projet réaménagement tronçon godomey - pahou avoir bénéficier financement important banque mondial cadre corridor abidjan-Lagos . ambition gouvernement être faire sorte faire plate-forme ouidah-allada-tori bossito , plate-forme transport , logistique commerce , avoir ajouter . Signalons délégation composer tête couronnée , sage notable ainsi jeune banikoara être également cabinet présidentiel . faire point échange , roi nansounon banikoara avoir indiquer délégation être venir remercier chef état divers action faveur population bénin générai commune banikoara particulier . citer , entre autre , bitumage route kandi - banikoara , gratuité césarien , gratuité enseignement maternel primaire . « avoir saisir occasion réitérer président boni Yayi tout soutien , car réussite être réussite » , avoir confier majesté nansounon .
2010-06-29;Audience au Palais de la Marina : l'ancien ministre d’Etat Zul Kifl Salami reçu par Boni Yayi;président république boni Yayi avoir recevoir hier lundi 28 juin cabinet , ancien ministre état , Dr zul kifl salami être aller porter nouveau implantation prochain pays , organisation international spécialiser secteur social soutenir gouvernement saoudien . chef état . boni Yayi hôte zul kifl salami avoir discuter façon général effort déployer soutenir économie béninoise . matière , zul kifl salami être également président G.A. Holding Ltd , avoir rappeler différent action mener , notamment matière mobilisation ressource profit état , lutte contre érosion côtier , sécurité alimentaire ainsi soutien sonacop approvisionnement produit pétrolier . aujourd’hui , plus spécialement , ancien ministre être venir cadre très élargir annoncer chef état bon nouveau être aboutissement négociation déjà engagé Arabie Saoudite profit bénin implantation grand organisation international soutenir gouvernement saoudien . organisation être spécialiser secteur social , financement , sous forme don non remboursable , activité secteur éducatif secteur sanitaire , approvisionnement eau , aide orphelin également victime catastrophe naturel , surtout temps où inondation faire parler bénin sous-région . ainsi , organisation aller implanter assez rapidement bénin , fois procédure administratif achever , permettre population bénéficier expérience . porteur nouveau , être réel satisfecit car grand capacité , permettre assurer fluidité rapport autorité saoudien terme mobilisation ressource . être énième acte patriotique poser zul kifl salami , caractériser engagement personnel vis-à-vis chose public nation aider développement socio-économique pays . aussi surtout apporter contribution lutte contre pauvreté .
2010-08-04;Audiences du chef de l'Etat : le premier ministre koweïtien au cabinet de Boni Yayi;chef état , président boni Yayi avoir recevoir audience , hier mardi 3 août palais république , plusieurs personnalité . agir délégation premier ministre koweïtien , Ali Al-Jarah Al autre conduite compatriote Justin azankpo . cours échange avoir avoir chacun , avoir être essentiellement question sujet ordre national international . premier délégation être recevoir matinée hier être conduite premier ministre koweitien Ali Al-Jarah Al sobah . cours audience président boni Yayi avoir accorder délégation , état relation lientir bénin Koweït avoir certainement être évoquer . sortie audience , délégation avoir faire aucun déclaration presse . quant deuxième délégation , être conduite Justin azankpo , vice-président rassemblement international démocratie apaisée bénin ( RIDAB ) . association créer membre diaspora béninoise Europe , apporter soutien président boni Yayi effort développement cours pays . membre avoir également saisir occasion encourager chef état courageuse décision prise cadre affaire ICC-Services .
2010-08-11;Des revendeuses de fruits accusent les producteurs;démarrage jeûne depuis quelque jour , prix fruit avoir connaître augmentation différent marché . témoignage recueillis auprès vendeur marché Cadjèhoun gbégamey , flambée être surtout imputable producteur , chaque année approche jeûne musulman , renchérissent coût produit vivrier , notamment fruit . constant dégager après recoupement déclaration revendeuse fruit . selon bon dame approché , producteur être principal auteur hausse prix papaye , ananas , orange , banane , goyave autre . convaincre , dame Pauline rencontrer marché Cadjèhoun , avoir laisser entendre paysan être plus dupe . selon , tout porter croire être bien informer démarrage période jeûne . justifier carême constituer sûrement , opportunité affaire . car , conclura , paysan savoir bien musulman être contraints consommer fruit , quel être prix . dame Rose , autre raison justifieraient flambée . déclarer effet octroi microcrédit femme avoir favorisé accroissement effectif vendeur fruit . « nouveau » commerçante , déplorer , hésiter corrompre paysan déboursant plus sous acheter produit revitaliser stock . dame rachelle vendeur marché gbégamey , si fruit avoir prendre valeur , être parce certain femme standing élevé , avoir prendre habitude approvisionner directement auprès paysan . nantie , débattent plus prix avant faire servir . conscient réalité , souligner t-el , certain producteur faire surenchère , confiant livreront article . « si prix achat produit source être déjà élevé falloir également prendre compter frais transport sans cesser croissant faire crise financier secoue pays , pouvoir vouloir fixer conséquence prix vente fruit , permettre dégager minimum marge financier » , désole dame Suzanne , visiblement mécontent faire revendeuse être toujours considérer comme responsable montée exponentielle prix produit période ramadan . ramadan course fruit jeûne ramadan avoir , peu connaisse habitude milieu commerce période , retombée économique certain . effet , être ruée vers ravitaillement , particulier fruit , famille musulman , voir type aliment source énergétique choix . plus , être quasiment indispensables rupture jeûne . cependant , pénitence spirituel charnelle entraîner pénitence bourse . eh effet , mois ramadan être occasion commerçant procéder hausse prix , loi offrir demander obliger . tenez ! marché fifatin Cadjèhoun marché fruit gbégamey , panier orange passer facilement 1000 franc coûter période ordinaire , 1500 franc . être début , affluence niveau étals fruit multiplier sous hangar , révéler ainsi don polyvalence certain commerçant habitué écouler marchandise autre type . musulman quant être encore nombreux présenter emplette saisonnier , confier vendeur . néanmoins , inquiéter guère , habitué être commerce : « ramadan commencer peine , venir .» sourire dire long ... victor-emmanuel EKWA -BEBE III
